rsi,sma,macd_fast,macd_slow,avg_sharpe
10,10,8,20,1.0192122211610883
10,10,12,20,1.0192122211610883
10,20,8,20,1.0192122211610883
10,20,12,20,1.0192122211610883
10,10,12,26,1.0169928932644647
10,20,8,26,1.0169928932644647
10,20,12,26,1.0169928932644647
10,10,8,26,1.0169928932644647
10,30,8,20,1.0043033559906436
10,30,8,26,1.0043033559906436
10,30,12,20,1.0043033559906436
10,30,12,26,1.0043033559906436
14,10,12,20,0.9482275192482488
14,20,8,20,0.9482275192482488
14,20,12,20,0.9482275192482488
14,10,8,20,0.9482275192482488
14,10,12,26,0.9454402798689623
14,20,8,26,0.9454402798689623
14,20,12,26,0.9454402798689623
14,10,8,26,0.9454402798689623
20,20,12,20,0.9429101244331894
20,20,8,20,0.9429101244331894
20,10,8,20,0.9429101244331894
20,10,12,20,0.9429101244331894
20,10,12,26,0.9382129559689557
20,20,12,26,0.9382129559689557
20,20,8,26,0.9382129559689557
20,10,8,26,0.9382129559689557
14,30,12,26,0.9328597664341995
14,30,12,20,0.9328597664341995
14,30,8,26,0.9328597664341995
14,30,8,20,0.9328597664341995
20,30,8,20,0.9262992954206009
20,30,8,26,0.9262992954206009
20,30,12,20,0.9262992954206009
20,30,12,26,0.9262992954206009
